Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS,EQ,INE917I01010
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS,EQ,INE066A01021
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS,EQ,INE158A01026
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS,EQ,INE585B01010
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS.NS,EQ,INE155A01022
UPL Ltd.,Chemicals,UPL.NS,EQ,INE628A01036
Larsen & Toubro Ltd.,Construction,LT.NS,EQ,INE018A01030
Grasim Industries Ltd.,Construction Materials,GRASIM.NS,EQ,INE047A01021
Shree Cement Ltd.,Construction Materials,SHREECEM.NS,EQ,INE070A01015
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS,EQ,INE481G01011
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,EQ,INE021A01026
Titan Company Ltd.,Consumer Durables,TITAN.NS,EQ,INE280A01028
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS,EQ,INE216A01030
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS,EQ,INE030A01027
ITC Ltd.,Fast Moving Consumer Goods,ITC.NS,EQ,INE154A01025
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS,EQ,INE239A01016
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS,EQ,INE192A01025
Axis Bank Ltd.,Financial Services,AXISBANK.NS,EQ,INE238A01034
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS,EQ,INE918I01026
HDFC Bank Ltd.,Financial Services,HDFCBANK.NS,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS,EQ,INE795G01014
Housing Development Finance Corporation Ltd.,Financial Services,HDFC.NS,EQ,INE001A01036
ICICI Bank Ltd.,Financial Services,ICICIBANK.BO,EQ,INE090A01021
IndusInd Bank Ltd.,Financial Services,INDUSINDBK.NS,EQ,INE095A01012
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK.BO,EQ,INE237A01028
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS,EQ,INE123W01016
State Bank of India,Financial Services,SBIN.NS,EQ,INE062A01020
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS,EQ,INE437A01024
Cipla Ltd.,Healthcare,CIPLA.NS,EQ,INE059A01026
Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS,EQ,INE089A01023
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.BO,EQ,INE044A01036
HCL Technologies Ltd.,Information Technology,HCLTECH.NS,EQ,INE860A01027
Infosys Ltd.,Information Technology,INFY.NS,EQ,INE009A01021
Tata Consultancy Services Ltd.,Information Technology,TCS.NS,EQ,INE467B01029
Tech Mahindra Ltd.,Information Technology,TECHM.NS,EQ,INE669C01036
Wipro Ltd.,Information Technology,WIPRO.NS,EQ,INE075A01022
Hindalco Industries Ltd.,Metals & Mining,HINDALCO.BO,EQ,INE038A01020
JSW Steel Ltd.,Metals & Mining,JSWSTEEL.NS,EQ,INE019A01038
Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS,EQ,INE081A01020
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS,EQ,INE029A01011
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS,EQ,INE522F01014
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC.NS,EQ,INE213A01029
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS,EQ,INE002A01018
NTPC Ltd.,Power,NTPC.NS,EQ,INE733E01010
Power Grid Corporation of India Ltd.,Power,POWERGRID.NS,EQ,INE752E01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS,EQ,INE742F01042
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS,EQ,INE397D01024
